DVD,HHS,total,totalA,totalB
201246,3,365,5,1
201246,4,1441,150,53
201246,5,287,10,9
201246,6,1000,37,42
201246,7,319,1,15
201246,8,701,11,28
201246,9,449,5,2
201246,10,240,8,0
201247,1,127,0,0
201247,2,491,17,3
201247,3,341,5,1
201247,4,1943,295,58
201247,5,310,9,10
201247,6,1093,97,73
201247,7,314,1,23
201247,8,744,14,56
201247,9,444,5,0
201247,10,276,10,0
201248,1,150,1,0
201248,2,597,48,6
201248,3,396,15,4
201248,4,2286,411,86
201248,5,339,24,13
201248,6,1394,85,88
201248,7,358,2,33
201248,8,952,38,76
201248,9,411,1,0
201248,10,271,13,0
201249,1,167,7,2
201249,2,793,80,10
201249,3,574,72,9
201249,4,2822,687,92
201249,5,483,48,19
201249,6,1671,176,140
201249,7,372,6,20
201249,8,1198,54,123
201249,9,476,5,2
201249,10,331,35,1
201250,1,183,23,2
201250,2,1141,220,9
201250,3,722,111,11
201250,4,3175,669,71
201250,5,672,105,39
201250,6,2068,217,234
201250,7,377,13,21
201250,8,1442,110,149
201250,9,561,18,3
201250,10,341,37,0
201251,1,253,37,2
201251,2,1327,351,17
201251,3,1025,245,32
201251,4,2953,561,76
201251,5,809,144,44
201251,6,2561,356,350
201251,7,384,22,23
201251,8,1798,207,193
201251,9,559,11,2
201251,10,396,58,6
201252,1,313,61,1
201252,2,1510,353,14
201252,3,1200,335,21
201252,4,3082,588,120
201252,5,965,180,72
201252,6,2741,423,390
201252,7,395,22,35
201252,8,2308,357,247
201252,9,664,19,4
201252,10,397,79,5
201301,1,414,99,1
201301,2,1812,455,23
201301,3,1408,347,26
201301,4,2898,536,136
201301,5,1069,198,58
201301,6,2924,469,318
201301,7,429,20,35
201301,8,2963,510,239
201301,9,759,51,10
201301,10,495,95,2
201302,1,444,82,3
201302,2,2216,552,51
201302,3,1637,394,33
201302,4,2740,440,101
201302,5,1220,197,54
201302,6,3256,590,344
201302,7,481,42,30
201302,8,3252,608,215
201302,9,836,71,16
201302,10,641,130,4
201303,1,432,64,7
201303,2,2431,473,58
201303,3,1469,310,54
201303,4,2480,369,96
201303,5,1160,204,77
201303,6,2938,561,269
201303,7,502,50,36
201303,8,3037,547,188
201303,9,999,98,13
201303,10,704,121,5
201304,1,347,49,7
201304,2,1962,291,50
201304,3,1206,189,49
201304,4,2156,380,92
201304,5,1030,158,60
201304,6,2922,485,285
201304,7,447,33,28
201304,8,2775,445,180
201304,9,1268,231,37
201304,10,673,121,17
201305,1,294,27,2
201305,2,1716,234,59
201305,3,1107,119,62
201305,4,1946,198,134
201305,5,887,108,50
201305,6,2199,301,212
201305,7,310,41,26
201305,8,2522,307,164
201305,9,1264,185,53
201305,10,627,80,13
201306,1,243,18,3
201306,2,1429,108,110
201306,3,927,76,70
201306,4,1997,151,181
201306,5,793,90,63
201306,6,1803,215,140
201306,7,470,19,36
201306,8,2471,275,137
201306,9,1274,137,64
201306,10,601,54,6
201307,1,192,10,5
201307,2,1231,85,113
201307,3,769,42,86
201307,4,2013,141,203
201307,5,770,62,53
201307,6,1497,103,82
201307,7,446,17,33
201307,8,2107,178,141
201307,9,1180,89,50
201307,10,497,31,7
201308,1,204,4,7
201308,2,1118,67,132
201308,3,725,41,101
201308,4,1996,123,197
201308,5,635,37,43
